web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225430-14","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Lateral Cone Jumps
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		Cones
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/120/lateral-cone-jumps/","Step 1
Starting Position: Place a series of cones 18-24"" apart in a straight line on a non-slip surface. Stand 3-6"" to your left of the first cone with your feet hip-width apart or closer, arms by your sides. Depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal / core muscles) to stiffen your spine.
 
Step 2
Downward Phase: Begin your downward phase by first shifting your hips backwards then slowly moving downwards to create a hinge-like movement at your knees. Continue to lower yourself until your feel your heels about to lift off the floor. Try to maintain a flat back by bending forward at the hips. Keep your head facing forward or to the floor, and position your arms where comfortable or where they offer the greatest degree of balance support.
 
Step 3
Jumping Movement: With ONLY a very brief pause at the bottom of your downward phase, explode sideways (left) and upwards through your lower extremity over the top of the first cone, achieving triple extension (pushing and extending your ankles, knees and hips simultaneously). As you jump into the air, try to keep your feet level with each other and parallel with the floor.
 
Step 4
Landing: The most important components of the landing phase are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees.
 
Step 5
Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels to create a level foot, parallel with the floor. Always push your hips backwards and drop your hips to absorb the jumping forces. Avoid locking your knees or quads on your landing as this may lead to potential knee injuries.
 
Step 6
Land with your trunk inclined slightly forward, head aligned with your spine and back rigid or flat. Keep your abdominal / core muscles engaged, stiffening your torso to protect your spine.
 
Step 7
With ONLY a very brief pause at the bottom of your landing phase, explode sideways (left) and upwards again through your lower extremity over the second cone, achieving triple extension (pushing and extending your ankles, knees and hips simultaneously). As your jump into the air, try to keep your feet level with each other and parallel with the floor.
 
Step 8
Exercise Variation: As you develop your jumping and landing skills, you can progress the exercise intensity and complexity by: (1) driving your arms behind you during the downward phase, (2) driving your arms forward, upward (towards an overhead position) and slightly sideways in your jumping direction during the jumping phases, (3) driving your knees towards your chest during the jumping phases, (4) increasing the height of each cone or the spacing between each cone, or (5) moving back and forth more rapidly or adding more cones and performing a greater number of jumps in each direction.
 
Learn first how to squat and perform regular squat jumps before attempting to jump laterally.
			

		Share:","Lateral Cone Jumps","Cones","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/120-1.jpg"
"1712225432-15","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Jump and Reach
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/176/jump-and-reach/","Step 1
Starting Position: Downward Phase: Begin your downward phase by first shifting your hips backwards then slowly moving downwards to create a hinge-like movement at your knees. Continue to lower yourself until your feel your heels about to lift off the floor. Try to maintain a flat back by bending forward at the hips, keep your head facing forward and position to your arms where comfortable or where they offer the greatest degree of balance support.  Extend your shoulders and reach your arms behind you to prepare the arm swing forward and upwards which will help with the upward momentum of the jump.
 
Step 2
Jumping Movement: With ONLY a very brief pause at the bottom of your downward phase, explode upwards through your lower extremity, achieving triple extension (pushing and extending your ankles, knees and hips simultaneously). As you jump into the air, keep your feet level with each other and parallel with the floor as you explode your arms forward and throw them up in the air reaching overhead to help create upwards momentum away from the ground.
 
Step 3
Extend all the way through the body to create a straight line from your toes up through you arms and out of your hands.  When landing, land on the mid-foot rolling backwards towards the heels.  Push your hips backwards and downwards to absorb the impacting (ground) forces associated with landing.  Attempt to land softly and quietly and avoid locking out your knees on the landing as this may lead to potential knee injuries.
Exercise Variation: To increase the level of difficulty do a knee tuck and pull your knees up towards your chest as you are jumping into the air.
 
Before jumping become familiar with the movement mechanics by doing a few squats where you squat back into your heels and sink into your hips with your arms extended behind you, stand up from the squat while swinging your arms forward and roll up on your toes, then sink back into your heels; repeat for 4-6 repetitions. 
 
			

		Share:","Jump and Reach","No Equipment","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/176-1.jpg"
"1712225437-16","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Forward Linear Jumps
			    
			    

	
		Target Body Part:
		Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/177/forward-linear-jumps/","Step 1
Starting Position: Stand with your feet hi-width apart, depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal / core muscles) to stiffen your spine.
 
Step 2
Downward Phase: Begin your downward phase by first shifting your hips backwards then slowly moving downwards to create a hinge-like movement at your knees. Continue to lower yourself until your feel your heels about to lift off the floor. Try to maintain a flat back by bending forward at the hips. Keep your head facing forward or to the floor, and extend your arms to reach directly behind you while keeping the elbows straight.
 
Step 3
Jumping Movement: With ONLY a very brief pause at the bottom of your downward phase, explode forward and upwards through your lower extremity while throwing your arms overhead to achieve triple extension (pushing and extending your ankles, knees and hips simultaneously). As your jump into the air, try to keep your feet next to each other.
 
Step 4
While in the air traveling forward pull your legs in front of you while keeping your feet next to each other in order to prepare for the landing.  Your head should be level with your eyes looking to the spot on the floor where you want to land.
 
Step 5
Your legs should be in front of you with the feet parallel next to each other, bend the knees and flex the hips to prepare to absorb the impact forces of the landing.  Keep your eyes on the floor to prepare for the landing.
 
Step 6
Landing phase: Keep your feet parallel next to each other and attempt to land softly on the whole foot, let the balls of the feet hit the ground first and quickly roll down to your heels while sinking your weight back into your heels and hips.  Use the rapid bending of the hips and knees to absorb the impact forces of the landing, do not land with a straight or hyper-extended knee as this could create an injury.
 
Step 7
Exercise Variation: Perform multiple jumps in a row, minimize the amount of time on the ground, as soon as you land and absorb the forces in the legs and hips explode off the ground into the next jump.
Your body will follow your eyes so be sure to look to the spot on the floor where you want to land and keep your legs and hips soft, ready to absorb the impact forces upon landing. 
			

		Share:","Forward Linear Jumps","No Equipment","Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/177-1.jpg"
"1712225439-17","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Forward Hurdle Run
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins
	
	
		Equipment:
		Hurdles
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/221/forward-hurdle-run/","Step 1
Starting Position: Stand facing a row of hurdles (the hurdles should be spaced so they have an equal distance between each hurdle); start with the left leg forward and right leg back, right arm forward and left arm back (you can alternate this starting position, but be sure to have the opposite arm and leg forward); lean forward, hinging from the hips to prepare for the run.  Explosively push off with the left leg while rapidly lifting the right knee and swinging the left arm forward to generate the forward movement for the drill.
 
Step 2
Step over the first hurdle and plant the right foot in the space between the first and second hurdles while explosively driving the left knee up to create a ninety degree angle at the left hip, at the same time the left knee is rising up swing the right arm forward moving from the shoulder joint (the movement comes from the shoulder not the elbow).
 
Step 3
Lift the left foot over the next hurdle and plant it on the ground while explosively lifting the right knee to a height where it creates ninety degrees of hip flexion, at the same time the left arm should swing forward from the shoulder while the right arm swings back into extension.  Continue running over the hurdles by picking up the knees as high as you can to ensure that you are able to clear the hurdles as you run over them.
 
Step 4 
Exercise Variation:  Start with one foot touch between each pair of hurdles and progress to being able to do two foot touches in between each pair of hurdles.
 
Maintain a tall posture with straight spine by engaging the abdominals (bracing) during the drill.
			

		Share:","Forward Hurdle Run","Hurdles","Butt/Hips, Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/221-1.jpg"
"1712225441-18","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Downward-facing Dog
			    
			    

	
		Target Body Part:
		Arms, Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/18/downward-facing-dog/","Step 1
Starting Position: Kneel on an exercise mat or floor and bring your feet together behind you. Slowly bend forward to place your palms flat on the mat, positioning your hands shoulder-width apart with your fingers facing forward. Slowly lift yourself into a push-up position, shifting your hands until your shoulders are positioned directly over your hands. Reposition your feet as needed to allow full extension of your body. Stiffen your torso by contracting your core and abdominal muscles to prevent any arching in your low back or hiking of your hips towards the ceiling.
 
Step 2
Upward Phase: While maintaining a rigid torso and full extension in your arms and legs, slowly exhale and shift your weight backwards by pushing your hips backwards and upwards. Maintain your head alignment with your spine, but slowly move your head between your shoulders as your body moves backwards and attempt to push your heels towards the floor. Maintain the stiffness in your torso to prevent the tendency of your back to arch. Continue moving until your body forms an inverted-V, keeping both arms and legs extended and a neutral (flat) spine. Allow a slight bend in the knees if required to achieve the inverted-V position.
 
Step 3
Downward Phase: Inhale and return your body to the starting push-up position, maintaining the alignment of all your body segments.
			

		Share:","Downward-facing Dog","No Equipment","Arms, Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/18-1.jpg"
"1712225443-19","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Cycled Split-Squat Jump
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/234/cycled-split-squat-jump/","Step 1
Starting Position: Stand in an athletic ready position with your feet hip-width apart, your right leg forward, left leg back, with both arms bent at the elbows and the left arm in front of your body and right arm back behind your body.  Prepare for the jump by leaning forward hinging at the hips, while simultaneously keeping your weight back in your thighs, depressing and retracting your scapulae (pull shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal / core muscles) to stiffen your spine.
 
Step 2
Jumping Movement: Quickly sink your weight back into your hips then explosively push both feet into the floor and driving your hips forward to accelerate your body into the air achieving triple extension (pushing and extending your ankles, knees and hips simultaneously) in both legs. As you jump into the air, keep your feet level with each other and parallel with the floor.
 
 
Step 3
While you are in the air cycle your legs by moving your left leg forward in front of your body, your right leg backwards behind your body; cycle your arms with your legs so that as your left leg comes forward your right arm comes forward and as your right leg moves back your left arm moves back.
 
Step 4
Downward phase: As you land your left leg should be in front of your body and your right leg back behind your body. The most important components of the landing phase are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees.  Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels. Always push your hips backwards and drop them downwards to absorb the impacting forces associated with jumping. Avoid locking out your knees or quads on your landing as this may lead to potential knee injuries.  Land with your trunk inclined slightly forward, head aligned with your spine and back rigid or flat. Keep your abdominal / core muscles engaged, stiffening your torso to protect your spine.


Step 5
Exercise Variation: Be sure to alternate the forward leg, when learning this exercise focus first on landing with control and resetting before another repetition, as you improve your strength and power progress to performing multiple jumps in a row.
 

It is suggested, you first learn how to squat and land before attempting to jump. Once you have mastered the hip-hinge mechanism, begin with small jumps, but emphasize your landing mechanics. Only progress to more explosive jumps once you have mastered your landing mechanics. 

 
			

		Share:","Cycled Split-Squat Jump","No Equipment","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/234-1.jpg"
"1712225445-20","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Calf Raises
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		Barbell
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/51/calf-raises/","Place a barbell in a rack at about shoulder-height. Dip under the bar so that it rests behind the neck across the top of the back and shoulder blades, and grip the bar with the hands just outside the shoulders. Raise the chest and squeeze the shoulder blades together to maintain a straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, placing both feet approximately hip-width apart and squarely set on the floor with the toes pointed forward. (Tip: for more development on the outside of calves point feet slightly inwards.) Keep a slight bend in knees, and press the toes into the ground while lifting the heels up. Pause at the top, and slowly roll the heels back down to the floor, then pause again and repeat for the desired number of repetitions. 
			

		Share:","Calf Raises","Barbell","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/51-1.jpg"
"1712225447-21","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Calf Raise
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		Weight Machines / Selectorized
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/294/calf-raise/","Adjust the weight to the appropriate level before beginning. Adjust the seat and the pad so the legs are straight out in front and slightly below the hips. With the ball of the foot on the platform, press through the toes as far as possible, keeping legs straight. Slowly return to the starting position. 
			

		Share:","Calf Raise","Weight Machines / Selectorized","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/294-1.jpg"
"1712225449-22","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Box Jumps
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		Raised Platform/Box
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/115/box-jumps/","Step 1
Starting Position: Place a 6-12"" raised platform or box on the floor 3-6"" in front of your feet on a non-slip surface. Stand with your feet hip-width apart or closer, arms by your sides, depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal / core muscles) to stiffen your spine.
 
Step 2
Downward Phase: Begin your downward phase by first shifting your hips backwards then slowly moving downwards to create a hinge-like movement at your knees. Continue to lower yourself until your feel your heels about to lift off the floor. Try to maintain a flat back by bending forward at the hips, keep your head facing the box and position your arms where comfortable or where they offer the greatest degree of balance support.
 
Step 3
Jumping Movement: With ONLY a very brief pause at the bottom of your downward phase, explode upwards through your lower extremity while swinging your arms forward and jumping onto the top of the raised platform or box, achieving triple extension (pushing and extending your ankles, knees and hips simultaneously). As you jump into the air, keep your feet level with each other and parallel with the floor.
 
Step 4
Landing: The most important components of the landing phase on a raised platform or box are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees.
 
Step 5
Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels to create a level foot, parallel with the surface. Always push your hips backwards and drop your hips to absorb the jumping forces. Avoid locking your knees and quads on your landing as this may lead to potential knee injuries.
 
Step 6
Land with your trunk inclined slightly forward, head aligned with your spine and back rigid or flat. Keep your abdominal / core muscles engaged, stiffening your torso to protect your spine.
 
Step 7
Exercise Variation: As you develop your jumping and landing skills, you can progress the exercise intensity and complexity by: (1) driving your arms behind you during the downward phase (illustrated), (2) driving your arms forward or upward (illustrated) during the jumping phase, (3) driving your knees towards your chest (illustrated) during the jumping phase., or (4) increasing the height of the raised platform or box.
Learn first how to squat and perform regular squat jumps before attempting to perform box jumps. The height of the platform / box should not exceed your vertical jump height.
			

		Share:","Box Jumps","Raised Platform/Box","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/115-1.jpg"
"1712225451-23","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Bodyweight Squat
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/135/bodyweight-squat/","Step 1
Starting Position: Begin standing with your feet slightly wider than hip-width, with the toes turned slightly outwards with your hands by your sides so the palms facing inwards. Depress and retract your scapulae (pull the shoulders down and back).
 
Step 2
Stiffen your core and abdominal muscles (“bracing”) to stabilize your spine. Hold your chest up and out, tilt your head slightly up, shift your weight back into your heels while pushing your hips towards the wall behind you.
 
Step 3
Downward Phase: Start the downward phase by first shifting your hips backwards then downwards to create a hinge-like movement at your hips and knees simultaneously. As you lower your hips the knees will then start to shift forward slowly, but try to control the amount of forward translation (movement) of the tibia (shinbone). Maintain tension in the core muscles (continue bracing) and attempt to keep your back flat.
 
Step 4
Continue to lower yourself until your thighs are parallel or almost parallel with the floor, until your heels begin to lift off the floor, or until your torso begins to round or flex forward. Monitor your feet, ankles and knees, ensuring that the feet don't move, the ankles do not collapse in or out and the knees remain aligned over the second toe. 
 
Step 5
From the Lowered Position: the knees should continue to remain aligned over the second toe and body weight should be evenly distributed between the balls and heels of the feet. From the side, the position of the tibia (shinbone) and torso should be parallel with each other and the low back should appear flat or showing the beginning of some rounding. 
 
Step 6
Upward Phase: While maintaining your back, chest and head-up position, exhale and extend the hips and knees by pushing your feet into the floor through your heels. The hips and torso need to rise together while keeping the heels flat on the floor and knees aligned over the second toe. Continue extending until you reach your starting position. 
 
Think about inhaling on the way down and exhaling while exerting on the way back to the initial standing position.
Hip Hinge, Dumbell Front Squat, Barbell High Back Squat, Dumbbell Deadlift, Barbell Deadlift
			

		Share:","Bodyweight Squat","No Equipment","Abs, Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/135-1.jpg"
"1712225454-24","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Barbell Jammers
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs, Shoulders
	
	
		Equipment:
		Barbell
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/236/barbell-jammers/","Step 1
Starting Position: Place the end of a standard barbell in a corner so that it will not move unnecessarily, place a weight on one end of the barbell with a collar so that the weight can not fall off during the exercise.  Stand with your feet slightly wider than shoulder-width, your toes pointed forward or slightly outward facing the end of the barbell so that it is between both feet and directly under your center of gravity.
 
Step 2
Squat down by first shifting your hips backwards then downwards to create a hinge-like movement at your knees, as you lower your hips the knees will then start to shift forward slowly, but try to control the amount of forward translation (movement) of the tibia (shinbone). Brace your core to keep your trunk stable and spine straight. Continue to lower yourself until your thighs are near, or parallel with the floor, or until your heels begin to lift off the floor, or until your torso begins to round or flex forward.  Lift the end of the barbell and firmly grasp it in both hands using a closed grip (thumbs wrapped around the bar). Position the end of the bar directly in front of your chest directly under your chin. Maintain your body position with the spine in neutral (normal-to-flat), shoulders depressed (no shrugging) with scapulae retracted (squeezing shoulder blades together). Keep your chest held up and out, head in line with your spine or slightly extended (raised), heels on the floor, and shoulders over or slightly in front of the bar. Your eyes should be facing forward or slightly upward.
 
Step 3
Upward phase:  Push your feet into the ground and drive your hips forward to extend your legs and begin the upward phase of the movement by standing up while continuing to hold the end of the barbell in front of your chest.  Monitor your feet, ankles and knees; to maintain control of your feet and knees push the floor away from you while keeping your knees aligned over the second toe of each foot as you move up to a standing position.
 
Step 4
As you approach a full standing position quickly push through your heels, extending and pushing the hips towards an upright position, begin to press the end of the barbell upwards with both hands continuing to grip the end of the bar, stiffen your core and abdominal muscles (“bracing”) to stabilize your spine.
 
Step 5
As the hips and knees reach full extension, continue pushing upward onto your toes at the ankle while pressing the bar overhead into full extension. The movement for the bar should start at the hips, travel through the trunk and continue through the shoulders and arms. Avoid arching your back during the overhead push. Roll up on your toes as you move your legs into triple extension (ankle plantarflexion, knee and hip extension).
 
Step 6
Exercise Variation: Increase the velocity or speed of the movement to transition from a strength to a power-based exercise.
Start with light resistance then gradually progress this exercise by increasing the weight and increasing the pace of the exercise so that you begin to perform the movement explosively against heavier resistance. 


Technique is very important in this lift. Do not progress to explosive movements until you master your technique.

			

		Share:","Barbell Jammers","Barbell","Abs, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/236-1.jpg"
"1712225456-25","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Ankle Flexion 
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		Resistance Bands/Cables
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/23/ankle-flexion/","Step 1
Starting Position: Assume a seated position, extending one leg out in front. Secure a cable or resistance band around the ball of that foot. The resistance should be pulling the bottom of your foot away from you.
 
Step 2
Start with your foot in plantar flexion (toes pointed forward away from your body) and slowly dorsiflex the ankle (pulling your toes towards your shin). Slowly return to your starting position, controlling the speed of movement and repeat.
 
Step 3
The movement comes from your ankle, so avoid any bending or full extension of your knee throughout the movement. Always aim to keep your foot aligned facing forward.
 
Step 4
As an exercise progression, modify your movement to include a slight foot rotation as you dorsiflex the ankle (toes point towards the ceiling). The direction of your slight rotation should be into inversion (bringing the big toe towards your shin bone).
Attempt to sit upright and avoid any excessive arching or slouching in the low back.
			

		Share:","Ankle Flexion","Resistance Bands/Cables","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/23-1.jpg"
"1712225458-26","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Alternate Leg Push-off 
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		Raised Platform/Box
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/246/alternate-leg-push-off/","Step 1
Starting Position: Stand facing a raised platform or a plyometric jump box, place your right foot on the top of the step or box, keep your left foot on the ground, hinge from the hips to lean forward, keep your arms by your side with your right arm in shoulder extension behind you and your left arm in shoulder flexion in front of you, keep your head level with your eyes looking at a point on the ground two-to-three feet in front of you. 
Step 2
Upward phase: Jump straight up into the air by explosively pushing your right foot in to the top of the box to create triple extension (ankle plantarflexion, knee and hip extension) while simultaneously pushing off with your left foot and swinging your right arm up and in front of your body to help generate upward momentum.  As you jump into the air lift up your left leg in order to keep your feet level with each other and parallel with the floor. 
Step 3
Mid-air: as you are in the air quickly swing your left leg forward and your right leg back so that you will land with your left foot on top of the platform and your right leg behind you on the floor. 
Step 4
Landing: The most important components of the landing phase are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees. Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels. Always push your hips backwards and drop them downwards to absorb the impacting forces associated with jumping. Avoid locking out your knees or quads on your landing as this may lead to potential knee injuries. Land with your trunk inclined slightly forward, head aligned with your spine and back rigid or flat. Keep your abdominal / core muscles engaged, stiffening your torso to protect your spine. 
Step 5
Exercise Variation: When you are learning this exercise focus on the soft landing and reset your body in the correct position for the next jump and pause for a moment between jumps to ensure good form.  As you improve minimize the rest time so that you are rapidly moving from one jump to the next. 
 
When jumping keep your spine straight and tall by contacting your abdominals (bracing) and be sure to perform the same number of repetitions on each leg.

			

		Share:","Alternate Leg Push-off","Raised Platform/Box","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/246-1.jpg"
"1712225460-27","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=1","Agility Ladder: Lateral Shuffle
			    
			    

	
		Target Body Part:
		Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		Ladder
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/170/agility-ladder-lateral-shuffle/","Step 1
Starting Position: Stand directly in a square at one end of the ladder with your feet approximately hip-width apart.
 
Step 2
Bend your hips and drop into an athletic ready position so that your knees are slightly bent and your chest is directly over your toes.  Your arms should be bent with the elbows fixed at approximately ninety degrees (during the drill ensure that the swinging is coming from the shoulder joint and not from the elbows).
 
Step 3
Shift your bodyweight so that your weight is in your left leg.  Pick up the right foot and place it in the square next to the starting square while pushing the left foot in to the ground to move your body to your right and in to the next square of the ladder.
 
Step 4
Your right foot should hit the ground at the ball of the foot and roll all the way down to the heel, as the entire right foot hits the ground shift your body weight off of the left leg and place your weight on the right leg.  Once your bodyweight is on your right leg pick up your left foot to bring it into the same square as the right foot.  Keep your hips flexed and knees bent so that you maintain an athletic ready position throughout the length of the entire ladder.
 
Step 5
Continue to move down the ladder to your right; keep the bodyweight in the left leg while picking up the right foot to move it to the next square to the right; as the right foot hits the square, push off with the left foot and keep the bodyweight centered on top of the right leg.  Be sure to move both ways through the ladder; once you've done a certain number of repetitions to the right, be sure to switch directions and do the same number of repetitions moving to your left (pushing off of the right foot).  
 
Exercise Variation: As you improve your movement skills, dynamic balance and ability to move rapidly through the ladder, try not to look at your feet and keep your eyes on the horizon (where your opponents will be during an athletic competition).
			

		Share:","Agility Ladder: Lateral Shuffle","Ladder","Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/170-1.jpg"
